adsh,cik,ticker,name,sec_url,accepted_filing_time,accepted_filing_date
0001477932-16-014447,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000147793216014447/0001477932-16-014447.txt,2016-12-30 17:42:00,2016-12-30
0001477932-16-010684,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000147793216010684/0001477932-16-010684.txt,2016-06-02 12:35:00,2016-06-02
0001477932-16-012267,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000147793216012267/0001477932-16-012267.txt,2016-08-29 06:07:00,2016-08-29
0001493152-20-012513,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000149315220012513/0001493152-20-012513.txt,2020-07-02 16:25:00,2020-07-02
0001493152-20-016843,1096275,WKSP,"WORKSPORT, LTD",https://www.sec.gov/Archives/edgar/data/1096275/000149315220016843/0001493152-20-016843.txt,2020-08-27 17:03:00,2020-08-27
0001493152-18-016418,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000149315218016418/0001493152-18-016418.txt,2018-11-19 12:11:00,2018-11-19
0001493152-19-017666,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000149315219017666/0001493152-19-017666.txt,2019-11-15 08:01:00,2019-11-15
0001477932-18-003331,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000147793218003331/0001477932-18-003331.txt,2018-07-03 14:40:00,2018-07-03
0001493152-18-012313,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000149315218012313/0001493152-18-012313.txt,2018-08-20 14:57:00,2018-08-20
0001493152-19-008465,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000149315219008465/0001493152-19-008465.txt,2019-05-31 14:49:00,2019-05-31
0001477932-18-000837,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000147793218000837/0001477932-18-000837.txt,2018-02-14 13:15:00,2018-02-14
0001477932-18-000890,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000147793218000890/0001477932-18-000890.txt,2018-02-15 14:46:00,2018-02-15
0001477932-18-000891,1096275,WKSP,"FRANCHISE HOLDINGS INTERNATIONAL, INC.",https://www.sec.gov/Archives/edgar/data/1096275/000147793218000891/0001477932-18-000891.txt,2018-02-15 14:48:00,2018-02-15
0000886137-17-000006,886137,FINL,FINISH LINE INC /IN/,https://www.sec.gov/Archives/edgar/data/886137/000088613717000006/0000886137-17-000006.txt,2017-01-04 17:28:00,2017-01-04
0000886137-17-000046,886137,FINL,FINISH LINE INC /IN/,https://www.sec.gov/Archives/edgar/data/886137/000088613717000046/0000886137-17-000046.txt,2017-09-22 15:36:00,2017-09-22
0000886137-17-000056,886137,FINL,FINISH LINE INC /IN/,https://www.sec.gov/Archives/edgar/data/886137/000088613717000056/0000886137-17-000056.txt,2017-12-21 09:34:00,2017-12-21
0000886137-16-000083,886137,FINL,FINISH LINE INC /IN/,https://www.sec.gov/Archives/edgar/data/886137/000088613716000083/0000886137-16-000083.txt,2016-06-24 11:39:00,2016-06-24
0000886137-16-000053,886137,FINL,FINISH LINE INC /IN/,https://www.sec.gov/Archives/edgar/data/886137/000088613716000053/0000886137-16-000053.txt,2016-01-07 13:40:00,2016-01-07
0000886137-16-000097,886137,FINL,FINISH LINE INC /IN/,https://www.sec.gov/Archives/edgar/data/886137/000088613716000097/0000886137-16-000097.txt,2016-09-23 11:52:00,2016-09-23
0000886137-17-000034,886137,FINL,FINISH LINE INC /IN/,https://www.sec.gov/Archives/edgar/data/886137/000088613717000034/0000886137-17-000034.txt,2017-06-23 15:03:00,2017-06-23
0000899866-17-000002,899866,ALXN,ALEXION PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/899866/000089986617000002/0000899866-17-000002.txt,2017-01-04 17:17:00,2017-01-04
0000899866-17-000153,899866,ALXN,ALEXION PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/899866/000089986617000153/0000899866-17-000153.txt,2017-07-27 16:10:00,2017-07-27
0000899866-17-000174,899866,ALXN,ALEXION PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/899866/000089986617000174/0000899866-17-000174.txt,2017-10-26 16:06:00,2017-10-26
0000899866-20-000042,899866,ALXN,"ALEXION PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/899866/000089986620000042/0000899866-20-000042.txt,2020-05-06 07:24:00,2020-05-06
0000899866-16-000290,899866,ALXN,ALEXION PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/899866/000089986616000290/0000899866-16-000290.txt,2016-04-29 16:30:00,2016-04-29
0000899866-16-000328,899866,ALXN,ALEXION PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/899866/000089986616000328/0000899866-16-000328.txt,2016-07-29 16:11:00,2016-07-29
0000899866-20-000074,899866,ALXN,"ALEXION PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/899866/000089986620000074/0000899866-20-000074.txt,2020-07-30 07:38:00,2020-07-30
0000899866-17-000084,899866,ALXN,ALEXION PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/899866/000089986617000084/0000899866-17-000084.txt,2017-04-27 16:07:00,2017-04-27
0000899866-18-000131,899866,ALXN,"ALEXION PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/899866/000089986618000131/0000899866-18-000131.txt,2018-10-24 16:28:00,2018-10-24
0000899866-19-000099,899866,ALXN,"ALEXION PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/899866/000089986619000099/0000899866-19-000099.txt,2019-10-23 07:57:00,2019-10-23
0000899866-18-000121,899866,ALXN,"ALEXION PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/899866/000089986618000121/0000899866-18-000121.txt,2018-07-26 16:40:00,2018-07-26
0000899866-19-000061,899866,ALXN,"ALEXION PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/899866/000089986619000061/0000899866-19-000061.txt,2019-04-25 08:51:00,2019-04-25
0000899866-18-000076,899866,ALXN,ALEXION PHARMACEUTICALS INC,https://www.sec.gov/Archives/edgar/data/899866/000089986618000076/0000899866-18-000076.txt,2018-04-26 16:05:00,2018-04-26
0000899866-19-000087,899866,ALXN,"ALEXION PHARMACEUTICALS, INC.",https://www.sec.gov/Archives/edgar/data/899866/000089986619000087/0000899866-19-000087.txt,2019-07-24 08:00:00,2019-07-24
0000940944-17-000002,940944,DRI,DARDEN RESTAURANTS INC,https://www.sec.gov/Archives/edgar/data/940944/000094094417000002/0000940944-17-000002.txt,2017-01-04 16:31:00,2017-01-04
0000940944-17-000044,940944,DRI,DARDEN RESTAURANTS INC,https://www.sec.gov/Archives/edgar/data/940944/000094094417000044/0000940944-17-000044.txt,2017-10-03 13:12:00,2017-10-03
